flightNumber,plane,dep_date,dep_time,dep_airport_name,dep_airport_code,dep_terminal,dep_status,dep_weather_min,dep_weather_max,dep_weather_desc,dep_counter,dep_door,arr_date,arr_time,arr_airport_name,arr_airport_code,arr_terminal,arr_status,arr_weather_min,arr_weather_max,arr_weather_desc,arr_room,arr_belt,timestamp
HTY134,Awh,2018-04-13,10:00,Algeciras / Helipuerto,AEI,,El vuelo ha despegado a las 10:03,9.0,16.0,Chubascos dispersos,,,2018-04-13,10:10,Ceuta,JCU,,El vuelo ha aterrizado a las 10:12,11.0,17.0,Lluvia,,,2018-04-13 10:33:45
HTY110,Awh,2018-04-13,14:15,Ceuta,JCU,,Llegada prevista a las 14:15,11.0,17.0,Lluvia,,,2018-04-13,14:30,Algeciras / Helipuerto,AEI,,Salida prevista a las 14:35,9.0,16.0,Chubascos dispersos,,,2018-04-13 10:33:47
HTY112,Awh,2018-04-13,15:05,Algeciras / Helipuerto,AEI,,Salida prevista a las 15:10,9.0,16.0,Chubascos dispersos,,,2018-04-13,15:15,Ceuta,JCU,,Llegada prevista a las 15:15,11.0,17.0,Lluvia,,,2018-04-13 10:33:48
HTY114,Awh,2018-04-13,15:35,Algeciras / Helipuerto,AEI,,Salida prevista a las 15:40,9.0,16.0,Chubascos dispersos,,,2018-04-13,15:45,Ceuta,JCU,,Llegada prevista a las 15:45,11.0,17.0,Lluvia,,,2018-04-13 10:33:50
HTY138,Awh,2018-04-13,18:45,Algeciras / Helipuerto,AEI,,Salida prevista a las 18:50,9.0,16.0,Chubascos dispersos,,,2018-04-13,18:55,Ceuta,JCU,,Llegada prevista a las 18:55,11.0,17.0,Lluvia,,,2018-04-13 10:33:51
HTY133,Awh,2018-04-13,09:45,Ceuta,JCU,,El vuelo ha despegado a las 09:48,11.0,17.0,Lluvia,,,2018-04-13,09:55,Algeciras / Helipuerto,AEI,,El vuelo ha aterrizado a las 09:57,9.0,16.0,Chubascos dispersos,,,2018-04-13 10:33:53
HTY109,Awh,2018-04-13,14:15,Ceuta,JCU,,Salida prevista a las 14:15,11.0,17.0,Lluvia,,,2018-04-13,14:25,Algeciras / Helipuerto,AEI,,Llegada prevista a las 14:25,9.0,16.0,Chubascos dispersos,,,2018-04-13 10:33:54
HTY111,Awh,2018-04-13,14:50,Ceuta,JCU,,Salida prevista a las 14:50,11.0,17.0,Lluvia,,,2018-04-13,15:00,Algeciras / Helipuerto,AEI,,Llegada prevista a las 15:00,9.0,16.0,Chubascos dispersos,,,2018-04-13 10:33:55
HTY113,Awh,2018-04-13,15:20,Ceuta,JCU,,Salida prevista a las 15:25,11.0,17.0,Lluvia,,,2018-04-13,15:30,Algeciras / Helipuerto,AEI,,Llegada prevista a las 15:30,9.0,16.0,Chubascos dispersos,,,2018-04-13 10:33:56
HTY137,Awh,2018-04-13,18:30,Ceuta,JCU,,Salida prevista a las 18:30,11.0,17.0,Lluvia,,,2018-04-13,18:40,Algeciras / Helipuerto,AEI,,Llegada prevista a las 18:40,9.0,16.0,Chubascos dispersos,,,2018-04-13 10:33:57
IBE0519,Airbus A319,2018-04-13,09:25,A Coruña,LCG,,El vuelo ha despegado a las 09:36,10.0,15.0,Chubascos dispersos,,3,2018-04-13,10:40,Madrid-Barajas Adolfo Suárez,MAD,4,Llegada prevista a las 11:04,6.0,14.0,Chubascos dispersos,10,16,2018-04-13 10:33:50
TAP1085,Atr-42/72,2018-04-13,11:00,A Coruña,LCG,,Salida prevista a las 11:00,10.0,15.0,Chubascos dispersos,,1,,,Lisboa,LIS,,,,,,,,2018-04-13 10:33:51
AEA7234,Embraer Erj-195,2018-04-13,12:15,A Coruña,LCG,,Salida prevista a las 12:15,10.0,15.0,Chubascos dispersos,,3,2018-04-13,13:25,Madrid-Barajas Adolfo Suárez,MAD,2,Llegada prevista a las 13:22,6.0,14.0,Chubascos dispersos,06,17,2018-04-13 10:33:52
IBE0513,Airbus A320,2018-04-13,13:35,A Coruña,LCG,,Salida prevista a las 13:35,10.0,15.0,Chubascos dispersos,,3,2018-04-13,15:00,Madrid-Barajas Adolfo Suárez,MAD,4,Llegada prevista a las 15:00,6.0,14.0,Chubascos dispersos,10,11,2018-04-13 10:33:53
VLG1274,32A,2018-04-13,14:05,A Coruña,LCG,,Salida prevista a las 14:05,10.0,15.0,Chubascos dispersos,,4,2018-04-13,15:30,Valencia,VLC,1,Llegada prevista a las 15:30,11.0,21.0,Nubosidad variable,3,8,2018-04-13 10:33:54
VLG1298,Airbus A320,2018-04-13,15:05,A Coruña,LCG,,Salida prevista a las 15:05,10.0,15.0,Chubascos dispersos,,3,2018-04-13,16:30,Sevilla,SVQ,1,Llegada prevista a las 16:30,8.0,17.0,Lluvia,B,3,2018-04-13 10:33:55
AEA7236,Embraer Erj-195,2018-04-13,16:15,A Coruña,LCG,,Salida prevista a las 16:15,10.0,15.0,Chubascos dispersos,,3,2018-04-13,17:25,Madrid-Barajas Adolfo Suárez,MAD,2,Llegada prevista a las 17:25,6.0,14.0,Chubascos dispersos,06,18,2018-04-13 10:33:56
IBE0523,Airbus A320,2018-04-13,17:40,A Coruña,LCG,,Salida prevista a las 17:40,10.0,15.0,Chubascos dispersos,,3,2018-04-13,18:55,Madrid-Barajas Adolfo Suárez,MAD,4,Llegada prevista a las 18:55,6.0,14.0,Chubascos dispersos,10,11,2018-04-13 10:33:57
VLG1295,Airbus A320,2018-04-13,17:50,A Coruña,LCG,,Salida prevista a las 17:50,10.0,15.0,Chubascos dispersos,,1,2018-04-13,19:25,Barcelona-El Prat,BCN,T1,Llegada prevista a las 19:25,12.0,17.0,Lluvia moderada,T1_G,07,2018-04-13 10:33:58
VLG7104,Airbus A320,2018-04-13,18:15,A Coruña,LCG,,Salida prevista a las 18:15,10.0,15.0,Chubascos dispersos,,4,,,Londres / Heathrow,LHR,,,,,,,,2018-04-13 10:33:59
LZF440,Atr 42-300/320,2018-04-13,19:20,Bilbao,BIO,,Llegada prevista a las 19:20,7.0,17.0,Lluvia,N,2,2018-04-13,20:00,A Coruña,LCG,,Salida prevista a las 20:00,10.0,15.0,Chubascos dispersos,,6,2018-04-13 10:34:01
AEA7238,Embraer Erj-195,2018-04-13,20:45,A Coruña,LCG,,Salida prevista a las 20:45,10.0,15.0,Chubascos dispersos,,3,2018-04-13,21:55,Madrid-Barajas Adolfo Suárez,MAD,2,Llegada prevista a las 21:55,6.0,14.0,Chubascos dispersos,06,17,2018-04-13 10:34:01
VLG1303,32A,2018-04-13,08:35,Alicante-Elche,ALC,N,El vuelo ha despegado a las 09:04,11.0,18.0,Nubosidad variable,10 - 16,C43,2018-04-13,09:45,Barcelona-El Prat,BCN,T1,El vuelo ha aterrizado a las 10:03,12.0,17.0,Lluvia moderada,T1_G,08,2018-04-13 10:33:46
AEA4025,Atr-72,2018-04-13,08:35,Alicante-Elche,ALC,N,El vuelo ha despegado a las 08:33,11.0,18.0,Nubosidad variable,90 - 91,C42,2018-04-13,09:45,Palma De Mallorca,PMI,N,El vuelo ha aterrizado a las 09:35,12.0,17.0,Lluvia,NT,12,2018-04-13 10:33:47
RYR4019,Boeing 737-800 Winglets,2018-04-13,08:50,Alicante-Elche,ALC,N,El vuelo ha despegado a las 08:49,11.0,18.0,Nubosidad variable,50 - 54,C39,,,Copenhague,CPH,,,,,,,,2018-04-13 10:33:48
RYR8287,Boeing 737-800 Winglets,2018-04-13,09:10,Alicante-Elche,ALC,N,El vuelo ha despegado a las 09:12,11.0,18.0,Nubosidad variable,50 - 54,B26,,,Bristol,BRS,,,,,,,,2018-04-13 10:33:49
BEL3772,Airbus A320,2018-04-13,09:15,Alicante-Elche,ALC,N,El vuelo ha despegado a las 09:08,11.0,18.0,Nubosidad variable,111 - 112,C37,,,Bruselas,BRU,,,,,,,,2018-04-13 10:33:49
JAF5358,7M8,2018-04-13,09:20,Alicante-Elche,ALC,N,El vuelo ha despegado a las 09:28,11.0,18.0,Nubosidad variable,93 - 94,C41,,,Bruselas,BRU,,,,,,,,2018-04-13 10:33:50
EWG9533,32A,2018-04-13,09:25,Alicante-Elche,ALC,N,El vuelo ha despegado a las 09:36,11.0,18.0,Nubosidad variable,113 - 114,C45,,,Dusseldorf,DUS,,,,,,,,2018-04-13 10:33:51
IBK5414,Boeing 737-800 Winglets,2018-04-13,09:30,Alicante-Elche,ALC,N,El vuelo ha despegado a las 09:25,11.0,18.0,Nubosidad variable,70 - 75,B31,,,Dusseldorf,DUS,,,,,,,,2018-04-13 10:33:53
ANE8391,Bombardier Crj-1000,2018-04-13,09:40,Alicante-Elche,ALC,N,El vuelo ha despegado a las 09:51,11.0,18.0,Nubosidad variable,20 - 21,B30,,,Madrid-Barajas Adolfo Suárez,MAD,,,,,,,,2018-04-13 10:33:55
JAF5842,Boeing 737-700 Winglets,2018-04-13,09:45,Alicante-Elche,ALC,N,El vuelo ha despegado a las 09:40,11.0,18.0,Nubosidad variable,95 - 96,B35,,,Bruselas /Charleroi,CRL,,,,,,,,2018-04-13 10:33:57
EZY8660,Airbus A319,2018-04-13,09:55,Alicante-Elche,ALC,N,Salida prevista a las 10:25,11.0,18.0,Nubosidad variable,150 - 155,B27,,,Londres /Gatwick,LGW,,,,,,,,2018-04-13 10:33:58
ENT520,Boeing 737-800 Winglets,2018-04-13,10:00,Alicante-Elche,ALC,N,El vuelo ha despegado a las 10:16,11.0,18.0,Nubosidad variable,17 - 18,C40,,,Budapest,BUD,,,,,,,,2018-04-13 10:34:04
TRA6144,Boeing 737-800 Winglets,2018-04-13,10:10,Alicante-Elche,ALC,N,El vuelo ha despegado a las 10:21,11.0,18.0,Nubosidad variable,116 - 121,C43,,,Amsterdam /Schiphol,AMS,,,,,,,,2018-04-13 10:34:05
TRA6626,Boeing 737-800 Winglets,2018-04-13,10:10,Alicante-Elche,ALC,N,Salida prevista a las 11:50,11.0,18.0,Nubosidad variable,116 - 121,C47,,,Eindhoven,EIN,,,,,,,,2018-04-13 10:34:06
TRA5052,Boeing 737-700 Winglets,2018-04-13,10:10,Alicante-Elche,ALC,N,El vuelo ha despegado a las 10:15,11.0,18.0,Nubosidad variable,116 - 121,C49,,,Rotterdam,RTM,,,,,,,,2018-04-13 10:34:07
VLG1392,32A,2018-04-13,10:20,Alicante-Elche,ALC,N,El vuelo ha despegado a las 10:18,11.0,18.0,Nubosidad variable,10 - 12,C42,,,Milan /Malpensa,MXP,,,,,,,,2018-04-13 10:34:08
VLG1374,Airbus A320,2018-04-13,10:20,Alicante-Elche,ALC,N,Salida prevista a las 10:20,11.0,18.0,Nubosidad variable,10 - 12,C39,,,Amsterdam /Schiphol,AMS,,,,,,,,2018-04-13 10:34:09
IBE8213,Canadair Crj-200,2018-04-13,10:05,Almeria,LEI,1,El vuelo ha despegado a las 09:57,8.0,17.0,Chubascos dispersos,19 - 21,2,,,Palma De Mallorca,PMI,,,,,,,,2018-04-13 10:33:49
EZY8164,Airbus A320,2018-04-13,10:05,Almeria,LEI,1,El vuelo ha despegado a las 10:11,8.0,17.0,Chubascos dispersos,13 - 14,5,,,Londres /Gatwick,LGW,,,,,,,,2018-04-13 10:33:51
IBE8595,Bombardier Crj-1000,2018-04-13,10:40,Almeria,LEI,1,Salida prevista a las 10:40,8.0,17.0,Chubascos dispersos,19 - 21,3,2018-04-13,11:50,Madrid-Barajas Adolfo Suárez,MAD,4,Llegada prevista a las 11:46,6.0,14.0,Chubascos dispersos,10,19,2018-04-13 10:33:53
RYR8352,Boeing 737-800 Winglets,2018-04-13,11:15,Almeria,LEI,1,Salida prevista a las 11:20,8.0,17.0,Chubascos dispersos,10 - 9,4,,,Londres /Stansted,STN,,,,,,,,2018-04-13 10:33:57
VLG1252,Airbus A320,2018-04-13,12:25,Almeria,LEI,1,Salida prevista a las 12:25,8.0,17.0,Chubascos dispersos,20 - 21,3,2018-04-13,13:50,Barcelona-El Prat,BCN,T1,Llegada prevista a las 13:50,12.0,17.0,Lluvia moderada,T1_G,08,2018-04-13 10:34:02
IBE8577,Bombardier Crj-1000,2018-04-13,14:05,Almeria,LEI,1,Salida prevista a las 14:05,8.0,17.0,Chubascos dispersos,19 - 21,3,2018-04-13,15:15,Madrid-Barajas Adolfo Suárez,MAD,4,Llegada prevista a las 15:15,6.0,14.0,Chubascos dispersos,10,19,2018-04-13 10:34:04
IBE8589,Canadair Crj-200,2018-04-13,16:35,Almeria,LEI,1,Salida prevista a las 16:35,8.0,17.0,Chubascos dispersos,19 - 21,3,2018-04-13,17:45,Madrid-Barajas Adolfo Suárez,MAD,4,Llegada prevista a las 17:45,6.0,14.0,Chubascos dispersos,10,19,2018-04-13 10:34:06
IBE8601,Bombardier Crj-1000,2018-04-13,17:40,Almeria,LEI,1,Salida prevista a las 17:40,8.0,17.0,Chubascos dispersos,19 - 21,3,2018-04-13,18:50,Madrid-Barajas Adolfo Suárez,MAD,4,Llegada prevista a las 18:50,6.0,14.0,Chubascos dispersos,10,19,2018-04-13 10:34:08
GMI2381,Boeing 737-700 Winglets,2018-04-13,19:35,Almeria,LEI,1,Salida prevista a las 19:35,8.0,17.0,Chubascos dispersos,3 - 4,4,,,Dusseldorf,DUS,,,,,,,,2018-04-13 10:34:09
RYR1259,Boeing 737-800 Winglets,2018-04-13,19:40,Almeria,LEI,1,Salida prevista a las 19:40,8.0,17.0,Chubascos dispersos,9 - 10,3,,,Bruselas /Charleroi,CRL,,,,,,,,2018-04-13 10:34:10
IBE8932,Canadair Crj-200,2018-04-13,19:45,Almeria,LEI,1,Salida prevista a las 19:45,8.0,17.0,Chubascos dispersos,19 - 21,1,2018-04-13,20:45,Sevilla,SVQ,1,Llegada prevista a las 20:45,8.0,17.0,Lluvia,B,5,2018-04-13 10:34:11
IBE8603,Bombardier Crj-1000,2018-04-14,07:15,Almeria,LEI,1,Salida prevista a las 07:15,8.0,17.0,Chubascos dispersos,19 - 21,3,2018-04-14,08:25,Madrid-Barajas Adolfo Suárez,MAD,,Llegada prevista a las 08:25,6.0,14.0,Chubascos dispersos,,,2018-04-13 10:34:12
LGL694,Boeing 737-800 Winglets,2018-04-14,09:30,Almeria,LEI,1,Salida prevista a las 09:30,8.0,17.0,Chubascos dispersos,22 - 24,3,,,Luxemburgo,LUX,,,,,,,,2018-04-13 10:34:14
JAF6944,Embraer 190,2018-04-14,10:05,Almeria,LEI,1,Salida prevista a las 10:05,8.0,17.0,Chubascos dispersos,17 - 18,2,,,Bruselas,BRU,,,,,,,,2018-04-13 10:34:15
IBE0514,Airbus A319,2018-04-13,07:30,Madrid-Barajas Adolfo Suárez,MAD,4,El vuelo ha despegado a las 07:30,6.0,14.0,Chubascos dispersos,810 - 859,H28,2018-04-13,08:45,A Coruña,LCG,,El vuelo ha aterrizado a las 08:46,10.0,15.0,Chubascos dispersos,S1,2,2018-04-13 10:34:06
VLG1292,32A,2018-04-13,09:25,Barcelona-El Prat,BCN,T1,El vuelo ha despegado a las 09:23,12.0,17.0,Lluvia moderada,501 - 514,A14,2018-04-13,11:10,A Coruña,LCG,,Llegada prevista a las 11:00,10.0,15.0,Chubascos dispersos,S1,2,2018-04-13 10:34:08
AEA7233,Embraer Erj-195,2018-04-13,10:10,Madrid-Barajas Adolfo Suárez,MAD,2,El vuelo ha despegado a las 10:04,6.0,14.0,Chubascos dispersos,505 - 520,E72,2018-04-13,11:25,A Coruña,LCG,,Llegada prevista a las 11:20,10.0,15.0,Chubascos dispersos,S1,1,2018-04-13 10:34:12
IBE0512,Airbus A320,2018-04-13,11:50,Madrid-Barajas Adolfo Suárez,MAD,4,Departure expected at 11:40,6.0,14.0,Chubascos dispersos,810 - 859,,2018-04-13,12:55,A Coruña,LCG,,Arrival expected at 12:55,10.0,15.0,Chubascos dispersos,S1,2,2018-04-13 10:34:13
VLG1299,Airbus A320,2018-04-13,13:05,Sevilla,SVQ,1,Salida prevista a las 13:05,8.0,17.0,Lluvia,M26 - M33,6,2018-04-13,14:30,A Coruña,LCG,,Llegada prevista a las 14:30,10.0,15.0,Chubascos dispersos,S1,2,2018-04-13 10:34:14
AEA7235,Embraer Erj-195,2018-04-13,14:15,Madrid-Barajas Adolfo Suárez,MAD,2,Salida prevista a las 14:15,6.0,14.0,Chubascos dispersos,505 - 520,,2018-04-13,15:30,A Coruña,LCG,,Llegada prevista a las 15:30,10.0,15.0,Chubascos dispersos,S1,1,2018-04-13 10:34:15
IBE0524,Airbus A320,2018-04-13,15:35,Madrid-Barajas Adolfo Suárez,MAD,4,Salida prevista a las 15:35,6.0,14.0,Chubascos dispersos,810 - 859,,2018-04-13,17:00,A Coruña,LCG,,Llegada prevista a las 17:00,10.0,15.0,Chubascos dispersos,S1,2,2018-04-13 10:34:15
VLG1294,Airbus A320,2018-04-13,15:25,Barcelona-El Prat,BCN,T1,Salida prevista a las 15:25,12.0,17.0,Lluvia moderada,501 - 514,,2018-04-13,17:15,A Coruña,LCG,,Llegada prevista a las 17:15,10.0,15.0,Chubascos dispersos,S1,2,2018-04-13 10:34:18
ANE8390,Bombardier Crj-1000,,,Madrid-Barajas Adolfo Suárez,MAD,,,,,,,,2018-04-13,09:00,Alicante-Elche,ALC,N,El vuelo ha aterrizado a las 09:04,11.0,18.0,Nubosidad variable,NT1,4A,2018-04-13 10:34:14
VLG3935,Airbus A320,2018-04-13,08:40,Palma De Mallorca,PMI,N,El vuelo ha despegado a las 08:36,12.0,17.0,Lluvia,058 - 060,D88,2018-04-13,09:45,Alicante-Elche,ALC,N,El vuelo ha aterrizado a las 09:35,11.0,18.0,Nubosidad variable,NT1,10A,2018-04-13 10:34:28
VLG1312,Airbus A320,2018-04-13,08:55,Barcelona-El Prat,BCN,T1,El vuelo ha despegado a las 08:47,12.0,17.0,Lluvia moderada,501 - 514,B47,2018-04-13,10:05,Alicante-Elche,ALC,N,El vuelo ha aterrizado a las 09:50,11.0,18.0,Nubosidad variable,NT1,9B,2018-04-13 10:34:34
IBE8931,Canadair Crj-200,2018-04-13,08:40,Sevilla,SVQ,1,The flight took off at 08:35,8.0,17.0,Lluvia,M18 - M20,K2,2018-04-13,09:35,Almeria,LEI,1,The flight landed at 09:19,8.0,17.0,Chubascos dispersos,1,1,2018-04-13 10:34:56
IBE8594,Bombardier Crj-1000,2018-04-13,09:00,Madrid-Barajas Adolfo Suárez,MAD,4,El vuelo ha despegado a las 09:00,6.0,14.0,Chubascos dispersos,810 - 859,K95,2018-04-13,10:10,Almeria,LEI,1,El vuelo ha aterrizado a las 10:09,8.0,17.0,Chubascos dispersos,1,1,2018-04-13 10:34:57
VLG1251,Airbus A320,2018-04-13,10:20,Barcelona-El Prat,BCN,T1,El vuelo ha despegado a las 10:26,12.0,17.0,Lluvia moderada,501 - 514,B44,2018-04-13,11:50,Almeria,LEI,1,Llegada prevista a las 11:50,8.0,17.0,Chubascos dispersos,1,3,2018-04-13 10:34:59
IBE8598,Bombardier Crj-1000,2018-04-13,12:25,Madrid-Barajas Adolfo Suárez,MAD,4,Salida prevista a las 12:25,6.0,14.0,Chubascos dispersos,810 - 859,,2018-04-13,13:35,Almeria,LEI,1,Llegada prevista a las 13:35,8.0,17.0,Chubascos dispersos,1,1,2018-04-13 10:35:02
IBE8212,Canadair Crj-200,,,Palma De Mallorca,PMI,,,,,,,,2018-04-13,16:05,Almeria,LEI,1,Llegada prevista a las 16:05,8.0,17.0,Chubascos dispersos,1,1,2018-04-13 10:35:03
IBE8592,Bombardier Crj-1000,2018-04-13,16:00,Madrid-Barajas Adolfo Suárez,MAD,4,Salida prevista a las 16:00,6.0,14.0,Chubascos dispersos,810 - 819,,2018-04-13,17:10,Almeria,LEI,1,Llegada prevista a las 17:10,8.0,17.0,Chubascos dispersos,1,1,2018-04-13 10:35:03
IBE8588,Canadair Crj-200,2018-04-13,18:05,Madrid-Barajas Adolfo Suárez,MAD,4,Salida prevista a las 18:05,6.0,14.0,Chubascos dispersos,810 - 819,,2018-04-13,19:15,Almeria,LEI,1,Llegada prevista a las 19:15,8.0,17.0,Chubascos dispersos,1,1,2018-04-13 10:35:07
IBE8600,Bombardier Crj-1000,2018-04-13,21:15,Madrid-Barajas Adolfo Suárez,MAD,4,Salida prevista a las 21:15,6.0,14.0,Chubascos dispersos,810 - 819,,2018-04-13,22:25,Almeria,LEI,1,Llegada prevista a las 22:25,8.0,17.0,Chubascos dispersos,1,1,2018-04-13 10:35:09
IBE8594,Canadair Crj-900,2018-04-14,08:55,Madrid-Barajas Adolfo Suárez,MAD,,Salida prevista a las 08:55,6.0,14.0,Chubascos dispersos,,,2018-04-14,10:05,Almeria,LEI,1,Llegada prevista a las 10:05,8.0,17.0,Chubascos dispersos,1,1,2018-04-13 10:35:18
IBE8759,Bombardier Crj-1000,2018-04-13,20:05,Leon,LEN,T,Salida prevista a las 20:05,3.0,13.0,Lluvia,05 -,1,,,Barcelona-El Prat,BCN,,,,,,,,2018-04-13 10:55:11
RYR4421,Boeing 737-800 Winglets,2018-04-13,14:30,Vitoria,VIT,,Salida prevista a las 14:30,5.0,13.0,Lluvia débil,,,,,Colonia/Bonn,CGN,,,,,,,,2018-04-13 10:55:13
IBE8758,Bombardier Crj-1000,,,Barcelona-El Prat,BCN,,,,,,,,2018-04-13,19:35,Leon,LEN,T,Llegada prevista a las 19:35,3.0,13.0,Lluvia,S1,2,2018-04-13 10:55:13
IBE8221,Canadair Crj-200,2018-04-14,09:05,Logroño - Agoncillo,RJL,1,Salida prevista a las 09:05,5.0,14.0,Lluvia,4 - 5,1,2018-04-14,09:55,Madrid-Barajas Adolfo Suárez,MAD,,Llegada prevista a las 09:55,6.0,14.0,Chubascos dispersos,,,2018-04-13 10:55:14
IBE8224,Canadair Crj-200,2018-04-13,21:00,Madrid-Barajas Adolfo Suárez,MAD,4,Salida prevista a las 21:00,6.0,14.0,Chubascos dispersos,810 - 819,,2018-04-13,21:50,Logroño - Agoncillo,RJL,1,Llegada prevista a las 21:50,5.0,14.0,Lluvia,1,1,2018-04-13 10:55:18
RYR1074,Boeing 737-800 Winglets,2018-04-13,12:15,Reus,REU,1,Salida prevista a las 12:15,10.0,20.0,Lluvia,21 - 21,10,,,East Midlands,EMA,,,,,,,,2018-04-13 10:55:11
RYR1115,Boeing 737-800 Winglets,2018-04-13,13:40,Reus,REU,1,Salida prevista a las 13:40,10.0,20.0,Lluvia,20 - 21,10,,,Dublin,DUB,,,,,,,,2018-04-13 10:55:14
RYR2212,Boeing 737-800 Winglets,2018-04-13,14:40,Reus,REU,1,Salida prevista a las 14:40,10.0,20.0,Lluvia,21 - 21,12,,,Eindhoven,EIN,,,,,,,,2018-04-13 10:55:20
RYR2212,Boeing 737-800 Winglets,2018-04-14,10:30,Reus,REU,1,Salida prevista a las 10:30,10.0,20.0,Lluvia,20 - 21,12,,,Eindhoven,EIN,,,,,,,,2018-04-13 10:55:21
EZY2224,Airbus A319,2018-04-13,10:20,Alicante-Elche,ALC,N,El vuelo ha despegado a las 10:29,11.0,18.0,Nubosidad variable,150 - 155,B33,,,Londres /Luton,LTN,,,,,,,,2018-04-13 10:55:44
IBB604,Atr-42/72,2018-04-13,08:00,La Palma,SPC,N,El vuelo ha despegado a las 08:00,16.0,21.0,Cubierto de nubes altas y medias,01 - 02,5,2018-04-13,08:30,Tenerife Norte,TFN,1,El vuelo ha aterrizado a las 08:34,17.0,22.0,Nubosidad variable,1,3,2018-04-13 10:55:11
IBB606,Atr-72,2018-04-13,08:30,La Palma,SPC,N,El vuelo ha despegado a las 08:28,16.0,21.0,Cubierto de nubes altas y medias,01 - 02,4,2018-04-13,09:00,Tenerife Norte,TFN,1,El vuelo ha aterrizado a las 09:00,17.0,22.0,Nubosidad variable,1,3,2018-04-13 10:55:12
IBE2282,Atr-72,2018-04-13,08:30,La Palma,SPC,N,El vuelo ha despegado a las 08:28,16.0,21.0,Cubierto de nubes altas y medias,01 - 02,4,,,Tenerife Norte,TFN,,,,,,,,2018-04-13 10:55:18
IBB304,Atr-42/72,2018-04-13,08:40,La Palma,SPC,N,El vuelo ha despegado a las 08:36,16.0,21.0,Cubierto de nubes altas y medias,01 - 02,6,2018-04-13,09:30,Gran Canaria,LPA,,El vuelo ha aterrizado a las 09:21,16.0,21.0,Cubierto de nubes altas y medias,01,12,2018-04-13 10:55:19
CNF413,Atr-72,2018-04-13,08:50,La Palma,SPC,N,El vuelo ha despegado a las 08:43,16.0,21.0,Cubierto de nubes altas y medias,07 - 07,9,2018-04-13,09:20,Tenerife Norte,TFN,1,El vuelo ha aterrizado a las 09:14,17.0,22.0,Nubosidad variable,1,1,2018-04-13 10:55:19
IBB608,Atr-42/72,2018-04-13,09:00,La Palma,SPC,N,El vuelo ha despegado a las 09:00,16.0,21.0,Cubierto de nubes altas y medias,01 - 02,5,2018-04-13,09:30,Tenerife Norte,TFN,1,El vuelo ha aterrizado a las 09:31,17.0,22.0,Nubosidad variable,1,2,2018-04-13 10:55:24
AEA9462,Atr-72,2018-04-13,09:25,La Palma,SPC,N,El vuelo ha despegado a las 09:15,16.0,21.0,Cubierto de nubes altas y medias,14 - 14,4,2018-04-13,10:00,Tenerife Norte,TFN,1,Llegada prevista a las 09:45,17.0,22.0,Nubosidad variable,1,2,2018-04-13 10:55:26
IBB612,Atr-42/72,2018-04-13,10:00,La Palma,SPC,N,Salida prevista a las 10:04,16.0,21.0,Cubierto de nubes altas y medias,01 - 02,6,2018-04-13,10:30,Tenerife Norte,TFN,1,Llegada prevista a las 10:30,17.0,22.0,Nubosidad variable,1,2,2018-04-13 10:55:27
CNF419,Atr-72,2018-04-13,10:40,La Palma,SPC,N,Salida prevista a las 10:39,16.0,21.0,Cubierto de nubes altas y medias,07 - 08,9,2018-04-13,11:10,Tenerife Norte,TFN,1,Llegada prevista a las 11:10,17.0,22.0,Nubosidad variable,1,2,2018-04-13 10:55:30
IBB614,Atr-72,2018-04-13,11:00,La Palma,SPC,N,Salida prevista a las 11:00,16.0,21.0,Cubierto de nubes altas y medias,01 - 02,5,2018-04-13,11:30,Tenerife Norte,TFN,1,Llegada prevista a las 11:30,17.0,22.0,Nubosidad variable,1,2,2018-04-13 10:55:32
AEA9464,Atr-72,2018-04-13,12:25,La Palma,SPC,N,Salida prevista a las 12:25,16.0,21.0,Cubierto de nubes altas y medias,13 - 14,6,2018-04-13,13:00,Tenerife Norte,TFN,1,Llegada prevista a las 13:00,17.0,22.0,Nubosidad variable,1,2,2018-04-13 10:55:34
IBB620,Atr-72,2018-04-13,13:00,La Palma,SPC,N,Salida prevista a las 13:00,16.0,21.0,Cubierto de nubes altas y medias,01 - 02,5,2018-04-13,13:30,Tenerife Norte,TFN,1,Llegada prevista a las 13:30,17.0,22.0,Nubosidad variable,1,1,2018-04-13 10:55:37
IBB622,Atr-42/72,2018-04-13,14:00,La Palma,SPC,N,Salida prevista a las 14:00,16.0,21.0,Cubierto de nubes altas y medias,01 - 02,5,2018-04-13,14:30,Tenerife Norte,TFN,1,Llegada prevista a las 14:30,17.0,22.0,Nubosidad variable,1,3,2018-04-13 10:55:38
IBS3843,Airbus A320,2018-04-13,14:25,La Palma,SPC,N,Salida prevista a las 14:25,16.0,21.0,Cubierto de nubes altas y medias,16 - 18,8,2018-04-13,18:15,Madrid-Barajas Adolfo Suárez,MAD,4,Llegada prevista a las 18:15,6.0,14.0,Chubascos dispersos,10,10,2018-04-13 10:55:40
IBB630,Atr-42/72,2018-04-13,15:00,La Palma,SPC,N,Salida prevista a las 15:00,16.0,21.0,Cubierto de nubes altas y medias,01 - 02,6,2018-04-13,15:30,Tenerife Norte,TFN,1,Llegada prevista a las 15:30,17.0,22.0,Nubosidad variable,1,1,2018-04-13 10:55:41
