flightNumber,plane,dep_date,dep_time,dep_airport_name,dep_airport_code,dep_terminal,dep_status,dep_weather_min,dep_weather_max,dep_weather_desc,dep_counter,dep_door,arr_date,arr_time,arr_airport_name,arr_airport_code,arr_terminal,arr_status,arr_weather_min,arr_weather_max,arr_weather_desc,arr_room,arr_belt,timestamp
EZY6046,Airbus A320,2018-04-14,23:35,Palma De Mallorca,PMI,N,El vuelo ha despegado a las 23:33,11.0,15.0,Lluvia,080 - 085,A16,,,Bristol,BRS,,,,,,,,2018-04-15 00:10:21
EZY1514,32A,2018-04-15,06:10,Palma De Mallorca,PMI,N,Salida prevista a las 06:10,11.0,15.0,Lluvia,080 - 085,C59,,,Ginebra,GVA,,,,,,,,2018-04-15 00:10:22
EZY3501,32A,2018-04-15,06:15,Palma De Mallorca,PMI,N,Salida prevista a las 06:15,11.0,15.0,Lluvia,080 - 085,C62,,,Stuttgart,STR,,,,,,,,2018-04-15 00:10:23
RYR2052,Boeing 737-800 Winglets,2018-04-15,06:25,Palma De Mallorca,PMI,N,Salida prevista a las 06:25,11.0,15.0,Lluvia,002 - 007,D92,2018-04-15,08:00,Madrid-Barajas Adolfo Suárez,MAD,1,Llegada prevista a las 08:00,5.0,17.0,Nubes altas,02,13,2018-04-15 00:10:26
IBS3917,Airbus A320,2018-04-15,06:30,Palma De Mallorca,PMI,N,Salida prevista a las 06:30,11.0,15.0,Lluvia,054 - 055,D86,2018-04-15,07:55,Madrid-Barajas Adolfo Suárez,MAD,4,Llegada prevista a las 07:55,5.0,17.0,Nubes altas,10,16,2018-04-15 00:10:27
IBB634,Atr-72,2018-04-15,17:00,La Palma,SPC,N,Salida prevista a las 17:00,17.0,21.0,Nubes altas,01 - 02,5,2018-04-15,17:30,Tenerife Norte,TFN,1,Llegada prevista a las 17:30,17.0,22.0,Despejado,1,3,2018-04-15 00:10:25
IBB636,Atr-42/72,2018-04-15,18:00,La Palma,SPC,N,Salida prevista a las 18:00,17.0,21.0,Nubes altas,01 - 02,5,2018-04-15,18:30,Tenerife Norte,TFN,1,Llegada prevista a las 18:30,17.0,22.0,Despejado,1,3,2018-04-15 00:10:26
AEA9480,Atr-72,2018-04-15,18:35,La Palma,SPC,N,Salida prevista a las 18:39,17.0,21.0,Nubes altas,13 - 14,6,2018-04-15,19:05,Tenerife Norte,TFN,1,Llegada prevista a las 19:05,17.0,22.0,Despejado,1,3,2018-04-15 00:10:27
EDW213,Airbus A320,2018-04-15,10:30,Fuerteventura,FUE,1,Salida prevista a las 10:30,16.0,22.0,Nubes altas,55 - 55,11,,,Zurich,ZRH,,,,,,,,2018-04-15 00:10:19
TRA6706,Boeing 737-800 Winglets,2018-04-15,10:35,Fuerteventura,FUE,1,Salida prevista a las 10:35,16.0,22.0,Nubes altas,10 - 11,14,,,Amsterdam /Schiphol,AMS,,,,,,,,2018-04-15 00:10:20
RYR8627,Boeing 737-800 Winglets,2018-04-15,10:45,Fuerteventura,FUE,1,Salida prevista a las 10:45,16.0,22.0,Nubes altas,15 - 17,7,,,Dusseldorf /Weeze,NRN,,,,,,,,2018-04-15 00:10:21
EWG1813,32A,2018-04-15,10:55,Fuerteventura,FUE,1,Salida prevista a las 10:55,16.0,22.0,Nubes altas,57 - 59,1,,,Munich,MUC,,,,,,,,2018-04-15 00:10:23
LGL734,Boeing 737-800 Winglets,2018-04-15,11:05,Fuerteventura,FUE,1,Salida prevista a las 11:05,16.0,22.0,Nubes altas,05 - 07,21,,,Luxemburgo,LUX,,,,,,,,2018-04-15 00:10:25
IBB211,Atr-42/72,2018-04-15,11:10,Fuerteventura,FUE,1,Salida prevista a las 11:10,16.0,22.0,Nubes altas,36 - 37,16,2018-04-15,11:50,Gran Canaria,LPA,,Llegada prevista a las 11:50,17.0,21.0,Nubes altas,01,11,2018-04-15 00:10:26
RYR8183,Boeing 737-800 Winglets,2018-04-15,11:15,Fuerteventura,FUE,1,Salida prevista a las 11:15,16.0,22.0,Nubes altas,15 - 17,9,,,Londres /Stansted,STN,,,,,,,,2018-04-15 00:10:27
IBE2101,Airbus A321,2018-04-14,21:00,Barcelona-El Prat,BCN,T1,El vuelo ha despegado a las 21:01,13.0,17.0,Abertura de claros,255 - 264,A02,2018-04-14,22:25,Madrid-Barajas Adolfo Suárez,MAD,4,El vuelo ha aterrizado a las 22:08,5.0,17.0,Nubes altas,10,07,2018-04-15 00:10:17
VLG9771,Airbus A321,2018-04-14,21:00,Barcelona-El Prat,BCN,T1,El vuelo ha despegado a las 21:01,13.0,17.0,Abertura de claros,255 - 264,A02,2018-04-14,22:25,Madrid-Barajas Adolfo Suárez,MAD,4,El vuelo ha aterrizado a las 22:08,5.0,17.0,Nubes altas,10,07,2018-04-15 00:10:22
IBS9522,Airbus A320,2018-04-15,08:00,Palma De Mallorca,PMI,N,Salida prevista a las 08:00,11.0,15.0,Lluvia,054 - 067,D99,2018-04-15,09:25,Bilbao,BIO,O,Llegada prevista a las 09:25,10.0,19.0,Nubes altas,N,4,2018-04-15 00:10:30
VLG1432,Airbus A320,2018-04-15,08:55,Barcelona-El Prat,BCN,T1,Salida prevista a las 08:55,13.0,17.0,Abertura de claros,501 - 514,,2018-04-15,10:10,Bilbao,BIO,O,Llegada prevista a las 10:10,10.0,19.0,Nubes altas,N,5,2018-04-15 00:10:32
IBS3834,Airbus A321,2018-04-14,20:40,Madrid-Barajas Adolfo Suárez,MAD,4,El vuelo ha despegado a las 20:37,5.0,17.0,Nubes altas,810 - 819,,2018-04-14,22:35,Gran Canaria,LPA,,El vuelo ha aterrizado a las 22:04,17.0,21.0,Nubes altas,01,16,2018-04-15 00:10:32
VOE3830,Boeing 717,2018-04-15,21:45,Sevilla,SVQ,1,Salida prevista a las 21:45,6.0,19.0,Nubes altas,M18 - M20,6,2018-04-15,23:10,Asturias,OVD,,Llegada prevista a las 23:10,5.0,18.0,Nubes altas,SC,4,2018-04-15 00:10:40
VLG1571,Airbus A320,2018-04-15,22:00,Barcelona-El Prat,BCN,T1,Salida prevista a las 22:00,13.0,17.0,Abertura de claros,501 - 514,,2018-04-15,23:35,Asturias,OVD,,Llegada prevista a las 23:35,5.0,18.0,Nubes altas,SC,3,2018-04-15 00:10:40
AEA4047,Atr-72,2018-04-15,06:45,Madrid-Barajas Adolfo Suárez,MAD,2,Salida prevista a las 06:45,5.0,17.0,Nubes altas,505 - 520,,2018-04-15,08:05,Alicante-Elche,ALC,N,Llegada prevista a las 08:05,10.0,22.0,Nubes altas,NT1,4A,2018-04-15 00:10:41
RYR5354,Boeing 737-800 Winglets,2018-04-15,06:40,Madrid-Barajas Adolfo Suárez,MAD,1,Salida prevista a las 06:40,5.0,17.0,Nubes altas,357 - 360,,2018-04-15,08:00,Ibiza,IBZ,1,Llegada prevista a las 08:00,12.0,16.0,Llovizna,02,04,2018-04-15 00:10:36
VLG3447,Airbus A320,2018-04-15,07:00,Madrid-Barajas Adolfo Suárez,MAD,4,Salida prevista a las 07:00,5.0,17.0,Nubes altas,760 - 763,,2018-04-15,08:15,Ibiza,IBZ,1,Llegada prevista a las 08:15,12.0,16.0,Llovizna,02,06,2018-04-15 00:10:38
AEA1702,Atr-72,2018-04-15,08:40,Palma De Mallorca,PMI,N,Salida prevista a las 08:40,11.0,15.0,Lluvia,086 - 091,B32,2018-04-15,09:20,Ibiza,IBZ,1,Llegada prevista a las 09:20,12.0,16.0,Llovizna,02,01,2018-04-15 00:10:42
VLG1676,Airbus A320,2018-04-15,16:10,Barcelona-El Prat,BCN,T1,Salida prevista a las 16:10,13.0,17.0,Abertura de claros,501 - 514,,2018-04-15,18:00,Santiago,SCQ,T,Llegada prevista a las 18:00,9.0,15.0,Chubascos dispersos,B,2,2018-04-15 00:10:43
AAL8564,Bombardier Crj-1000,2018-04-15,11:25,Madrid-Barajas Adolfo Suárez,MAD,4,Salida prevista a las 11:25,5.0,17.0,Nubes altas,810 - 859,,2018-04-15,12:55,Menorca,MAH,1,Llegada prevista a las 12:55,12.0,14.0,Lluvia moderada,1,04,2018-04-15 00:10:37
RYR6881,Boeing 737-800 Winglets,2018-04-15,16:50,Barcelona-El Prat,BCN,T2 B,Salida prevista a las 16:50,13.0,17.0,Abertura de claros,B65 - B71,,2018-04-15,17:50,Menorca,MAH,1,Llegada prevista a las 17:50,12.0,14.0,Lluvia moderada,1,06,2018-04-15 00:10:42
IBE8024,Canadair Crj-900,2018-04-15,16:20,Madrid-Barajas Adolfo Suárez,MAD,4,Salida prevista a las 16:20,5.0,17.0,Nubes altas,810 - 819,,2018-04-15,17:50,Menorca,MAH,1,Llegada prevista a las 17:50,12.0,14.0,Lluvia moderada,1,04,2018-04-15 00:10:43
VLG3716,Airbus A320,2018-04-15,17:15,Barcelona-El Prat,BCN,T1,Salida prevista a las 17:15,13.0,17.0,Abertura de claros,501 - 514,,2018-04-15,18:10,Menorca,MAH,1,Llegada prevista a las 18:10,12.0,14.0,Lluvia moderada,1,05,2018-04-15 00:10:44
RYR5278,Boeing 737-800 Winglets,2018-04-15,07:15,Madrid-Barajas Adolfo Suárez,MAD,1,Salida prevista a las 07:15,5.0,17.0,Nubes altas,357 - 360,,2018-04-15,09:10,Tenerife Norte,TFN,1,Llegada prevista a las 09:10,17.0,22.0,Despejado,1,1,2018-04-15 00:10:45
AEA9073,Boeing 737-800 Winglets,2018-04-15,08:00,Madrid-Barajas Adolfo Suárez,MAD,2,Salida prevista a las 08:00,5.0,17.0,Nubes altas,505 - 520,,2018-04-15,09:45,Lanzarote,ACE,1,Llegada prevista a las 09:45,15.0,22.0,Nubes altas,1,3,2018-04-15 00:10:42
AEA9447,Atr-72,2018-04-15,09:20,Gran Canaria,LPA,,Salida prevista a las 09:20,17.0,21.0,Nubes altas,111 - 112,A05,2018-04-15,10:05,Lanzarote,ACE,4,Llegada prevista a las 10:05,15.0,22.0,Nubes altas,4,C2,2018-04-15 00:10:46
IBB510,Bombardier Crj-1000,2018-04-15,09:30,Gran Canaria,LPA,,Salida prevista a las 09:30,17.0,21.0,Nubes altas,103 - 108,A13,2018-04-15,10:10,Lanzarote,ACE,4,Llegada prevista a las 10:10,15.0,22.0,Nubes altas,4,C1,2018-04-15 00:10:47
IBS3950,32A,2018-04-15,11:25,Madrid-Barajas Adolfo Suárez,MAD,4,Salida prevista a las 11:25,5.0,17.0,Nubes altas,810 - 859,,2018-04-15,12:30,Sevilla,SVQ,,Llegada prevista a las 12:30,6.0,19.0,Nubes altas,A,1,2018-04-15 00:10:46
IBB210,Atr-72,2018-04-15,09:55,Gran Canaria,LPA,,Salida prevista a las 09:55,17.0,21.0,Nubes altas,103 - 108,A07,2018-04-15,10:40,Fuerteventura,FUE,1,Llegada prevista a las 10:40,16.0,22.0,Nubes altas,A,14,2018-04-15 00:10:47
IBB422,Atr-42/72,2018-04-15,10:00,Tenerife Norte,TFN,1,Salida prevista a las 10:00,17.0,22.0,Despejado,21 - 26,3,2018-04-15,10:50,Fuerteventura,FUE,1,Llegada prevista a las 10:50,16.0,22.0,Nubes altas,A,13,2018-04-15 00:10:48
CNF809,Atr-72,2018-04-15,10:25,Gran Canaria,LPA,,Salida prevista a las 10:25,17.0,21.0,Nubes altas,116 - 116,A11,2018-04-15,11:05,Fuerteventura,FUE,1,Llegada prevista a las 11:05,16.0,22.0,Nubes altas,A,13,2018-04-15 00:10:49
IBB315,Atr-72,2018-04-15,17:10,Gran Canaria,LPA,,Salida prevista a las 17:10,17.0,21.0,Nubes altas,103 - 108,A05,2018-04-15,18:00,La Palma,SPC,,Llegada prevista a las 18:00,17.0,21.0,Nubes altas,LLNT,4,2018-04-15 00:10:50
AEA9479,Atr-72,2018-04-15,17:35,Tenerife Norte,TFN,1,Salida prevista a las 17:35,17.0,22.0,Despejado,14 - 14,3,2018-04-15,18:10,La Palma,SPC,,Llegada prevista a las 18:10,17.0,21.0,Nubes altas,LLNT,2,2018-04-15 00:10:51
